date,open,close,high,low,volume
2001-12-25,1.16,0.84,1.17,0.05,830157
2001-12-26,0.67,0.87,0.92,0.63,280058
2001-12-27,0.91,1.1,1.23,0.83,254064
2001-12-28,1.07,1.21,1.26,1.05,187275
2001-12-31,1.25,1.22,1.35,1.19,148514
2002-01-04,1.17,0.93,1.24,0.89,129917
2002-01-07,0.91,1.28,1.31,0.84,126529
2002-01-08,1.25,1.23,1.33,1.14,117854
2002-01-09,1.2,1.34,1.47,1.1,196134
2002-01-10,1.27,1.45,1.48,1.23,151667
2002-01-11,1.43,1.21,1.43,1.2,97438
2002-01-14,1.1,1.21,1.34,0.99,94541
2002-01-15,1.18,1.23,1.38,1.17,88983
2002-01-16,1.23,1.19,1.33,1.04,88858
2002-01-17,1.16,0.82,1.16,0.74,128827
2002-01-18,0.75,0.94,1.13,0.64,115516
2002-01-21,0.87,0.88,1.02,0.72,54021
2002-01-22,0.88,0.93,1.07,0.82,66869
2002-01-23,0.97,1.32,1.37,0.85,113831
2002-01-24,1.27,1.64,1.97,1.11,267433
2002-01-25,1.57,1.56,1.75,1.44,156227
2002-01-28,1.53,1.16,1.61,1.13,157208
2002-01-29,1.09,1.37,1.46,1.06,101637
2002-01-30,1.35,1.33,1.47,1.26,61061
2002-01-31,1.42,1.79,1.97,1.42,237073
2002-02-01,1.77,1.75,2.06,1.72,148896
2002-02-04,1.76,1.88,1.95,1.68,70196
2002-02-05,1.87,1.84,1.92,1.75,61595
2002-02-06,1.77,1.69,1.82,1.66,62770
2002-02-07,1.66,1.79,1.93,1.64,69651
2002-02-08,1.88,1.76,1.92,1.75,40142
2002-02-25,1.97,1.84,1.99,1.8,38755
2002-02-26,1.84,1.82,1.84,1.67,40096
2002-02-27,1.85,1.93,2.1,1.85,76560
2002-02-28,1.95,1.92,2.06,1.89,46527
2002-03-01,1.92,1.83,1.95,1.81,35076
2002-03-04,1.84,2.05,2.05,1.82,52894
2002-03-05,2.07,2.13,2.25,2.02,102826
2002-03-06,2.13,2.06,2.25,2.02,103695
2002-03-07,2.07,2.27,2.32,2.03,99899
2002-03-08,2.27,2.28,2.33,2.14,98474
2002-03-11,2.28,2.31,2.34,2.21,88734
2002-03-12,2.28,2.11,2.32,2.1,86415
2002-03-13,2.07,1.99,2.27,1.95,59446
2002-03-14,1.99,2.19,2.2,1.96,40053
2002-03-15,2.2,1.92,2.25,1.89,45142
2002-03-18,1.82,1.71,1.91,1.57,55958
2002-03-19,1.71,2.27,2.29,1.69,105809
2002-03-20,2.34,2.37,2.52,2.2,138738
2002-03-21,2.4,2.68,3.17,2.29,220108
2002-03-22,2.61,2.49,2.7,2.37,89227
2002-03-25,2.15,2.47,2.62,1.99,365377
2002-03-26,2.37,2.37,2.51,2.22,136773
2002-03-27,2.34,2.34,2.39,2.17,59316
2002-03-28,2.34,2.25,2.39,2.21,48412
2002-03-29,2.23,1.99,2.23,1.92,82701
2002-04-01,1.99,2.01,2.07,1.77,48102
2002-04-02,2.01,1.76,2.01,1.67,65742
2002-04-03,1.76,1.81,1.95,1.74,43400
2002-04-04,1.84,2.04,2.06,1.66,62248
2002-04-05,2.08,1.95,2.13,1.92,47222
2002-04-08,1.93,1.91,2.02,1.8,36179
2002-04-09,1.87,2.07,2.09,1.85,49818
2002-04-10,2.1,2.26,2.3,2.0,57520
2002-04-11,2.25,2.01,2.29,1.99,43611
2002-04-12,2.01,2.03,2.13,1.93,30883
2002-04-15,2.05,1.95,2.08,1.89,20964
2002-04-16,1.95,1.87,1.95,1.85,25239
2002-04-17,1.87,1.94,1.99,1.85,15515
2002-04-18,1.99,1.8,1.99,1.77,24173
2002-04-19,1.77,2.04,2.09,1.77,88690
2002-04-22,2.09,2.17,2.21,1.98,45075
2002-04-23,2.17,2.23,2.24,2.08,43038
2002-04-24,2.22,2.08,2.22,2.08,34608
2002-04-25,2.07,2.34,2.44,2.02,109199
2002-04-26,2.37,2.4,2.46,2.29,64731
2002-04-29,2.17,2.41,2.5,2.17,56006
2002-04-30,2.42,2.56,2.61,2.33,95889
2002-05-08,2.57,2.4,2.59,2.39,30937
2002-05-09,2.37,2.35,2.46,2.34,28317
2002-05-10,2.37,2.37,2.41,2.22,37813
2002-05-13,2.25,2.36,2.39,2.2,41150
2002-05-14,2.36,2.46,2.49,2.28,32282
2002-05-15,2.43,2.27,2.59,2.27,71054
2002-05-16,2.22,2.23,2.36,2.16,102298
2002-05-17,2.19,2.31,2.38,1.95,80412
2002-05-20,2.29,2.1,2.3,2.05,37302
2002-05-21,2.37,2.35,2.46,2.22,52519
2002-05-22,2.43,2.41,2.55,2.33,62185
2002-05-23,2.45,2.42,2.54,2.32,32263
2002-05-24,2.47,2.27,2.47,2.22,24205
2002-05-27,2.26,2.46,2.47,2.26,23481
2002-05-28,2.45,2.46,2.56,2.4,34277
2002-05-29,2.45,2.3,2.45,2.25,31832
2002-05-30,2.32,2.34,2.37,2.23,22701
2002-06-03,2.22,2.03,2.23,2.0,39994
2002-06-04,2.03,2.04,2.13,1.92,21384
2002-06-05,2.04,1.96,2.07,1.82,24982
2002-06-06,1.93,2.34,2.4,1.85,46992
2002-06-07,2.32,2.36,2.4,2.25,33368
2002-06-10,2.34,2.29,2.36,2.23,17838
2002-06-11,2.3,2.35,2.37,2.22,14512
2002-06-12,2.35,2.33,2.35,2.26,7984
2002-06-13,2.32,2.21,2.33,2.17,12205
2002-06-14,2.21,2.09,2.23,2.09,16111
2002-06-17,2.05,2.13,2.16,2.02,7236
2002-06-18,2.13,2.33,2.42,2.12,25145
2002-06-19,2.35,2.3,2.4,2.29,7595
2002-06-20,2.3,2.39,2.47,2.29,9948
2002-06-21,2.39,2.64,2.74,2.38,93191
2002-06-24,3.48,3.48,3.48,3.06,361923
2002-06-25,3.55,3.45,4.14,3.27,322769
2002-06-26,3.37,3.45,3.54,3.27,103718
2002-06-27,3.51,3.67,3.87,3.35,114240
2002-06-28,3.72,3.61,3.84,3.48,106498
2002-07-01,3.67,3.39,3.72,3.38,54498
2002-07-02,3.35,3.49,3.53,3.3,32585
2002-07-03,3.52,3.57,3.61,3.45,37304
2002-07-04,3.59,3.36,3.62,3.32,54218
2002-07-05,3.36,3.41,3.47,3.32,21252
2002-07-08,3.43,3.47,3.58,3.37,23663
2002-07-09,3.49,3.47,3.57,3.44,24094
2002-07-10,3.47,3.32,3.48,3.32,33547
2002-07-11,3.32,3.18,3.37,3.16,52212
2002-07-12,3.17,3.09,3.24,3.07,23359
2002-07-15,3.09,3.13,3.18,2.98,25963
2002-07-16,3.15,3.14,3.3,3.11,18093
2002-07-17,3.17,3.26,3.26,3.07,12981
2002-07-18,3.25,3.24,3.35,3.07,24772
2002-07-19,3.26,3.28,3.32,3.17,12817
2002-07-22,3.27,3.11,3.27,3.08,19745
