证券代码,证券简称,公司全称,上市日期
600000,浦发银行,上海浦东发展银行股份有限公司,1999-11-10
600004,白云机场,广州白云国际机场股份有限公司,2003-04-28
600006,东风汽车,东风汽车股份有限公司,1999-07-27
600007,中国国贸,中国国际贸易中心股份有限公司,1999-03-12
600008,首创环保,北京首创生态环保集团股份有限公司,2000-04-27
600009,上海机场,上海国际机场股份有限公司,1998-02-18
600010,包钢股份,内蒙古包钢钢联股份有限公司,2001-03-09
600011,华能国际,华能国际电力股份有限公司,2001-12-06
600012,皖通高速,安徽皖通高速公路股份有限公司,2003-01-07
600015,华夏银行,华夏银行股份有限公司,2003-09-12
600016,XD民生银,中国民生银行股份有限公司,2000-12-19
600017,日照港,日照港股份有限公司,2006-10-17
600018,上港集团,上海国际港务(集团)股份有限公司,2000-07-19
600019,宝钢股份,宝山钢铁股份有限公司,2000-12-12
600020,中原高速,河南中原高速公路股份有限公司,2003-08-08
600021,上海电力,上海电力股份有限公司,2003-10-29
600022,山东钢铁,山东钢铁股份有限公司,2004-06-29
600023,浙能电力,浙江浙能电力股份有限公司,2013-12-19
600025,华能水电,华能澜沧江水电股份有限公司,2017-12-15
600026,中远海能,中远海运能源运输股份有限公司,2002-05-23
600027,华电国际,华电国际电力股份有限公司,2005-02-03
600028,中国石化,中国石油化工股份有限公司,2001-08-08
600029,南方航空,中国南方航空股份有限公司,2003-07-25
600030,中信证券,中信证券股份有限公司,2003-01-06
600031,三一重工,三一重工股份有限公司,2003-07-03
600032,浙江新能,浙江省新能源投资集团股份有限公司,2021-05-25
600033,福建高速,福建发展高速公路股份有限公司,2001-02-09
600035,楚天高速,湖北楚天智能交通股份有限公司,2004-03-10
600036,招商银行,招商银行股份有限公司,2002-04-09
600037,歌华有线,北京歌华有线电视网络股份有限公司,2001-02-08
600038,中直股份,中航直升机股份有限公司,2000-12-18
600039,四川路桥,四川路桥建设集团股份有限公司,2003-03-25
600048,保利发展,保利发展控股集团股份有限公司,2006-07-31
600050,中国联通,中国联合网络通信股份有限公司,2002-10-09
600051,宁波联合,宁波联合集团股份有限公司,1997-04-10
600052,东望时代,浙江东望时代科技股份有限公司,1997-04-15
600053,九鼎投资,昆吾九鼎投资控股股份有限公司,1997-04-18
600054,黄山旅游,黄山旅游发展股份有限公司,1997-05-06
600055,万东医疗,北京万东医疗科技股份有限公司,1997-05-19
600056,中国医药,中国医药健康产业股份有限公司,1997-05-15
600057,厦门象屿,厦门象屿股份有限公司,1997-06-04
600058,五矿发展,五矿发展股份有限公司,1997-05-28
600059,古越龙山,浙江古越龙山绍兴酒股份有限公司,1997-05-16
600060,海信视像,海信视像科技股份有限公司,1997-04-22
600061,国投资本,国投资本股份有限公司,1997-05-19
600062,华润双鹤,华润双鹤药业股份有限公司,1997-05-22
600063,皖维高新,安徽皖维高新材料股份有限公司,1997-05-28
600064,南京高科,南京高科股份有限公司,1997-05-06
600066,宇通客车,宇通客车股份有限公司,1997-05-08
600067,冠城大通,冠城大通股份有限公司,1997-05-08
600070,ST富润,浙江富润数字科技股份有限公司,1997-06-04
600071,凤凰光学,凤凰光学股份有限公司,1997-05-28
600072,中船科技,中船科技股份有限公司,1997-06-03
600073,上海梅林,上海梅林正广和股份有限公司,1997-07-04
600075,新疆天业,新疆天业股份有限公司,1997-06-17
600076,康欣新材,康欣新材料股份有限公司,1997-05-26
600077,*ST宋都,宋都基业投资股份有限公司,1997-05-20
600078,ST澄星,江苏澄星磷化工股份有限公司,1997-06-27
600079,人福医药,人福医药集团股份公司,1997-06-06
600080,金花股份,金花企业(集团)股份有限公司,1997-06-12
600081,东风科技,东风电子科技股份有限公司,1997-07-03
600082,海泰发展,天津海泰科技发展股份有限公司,1997-06-20
600083,博信股份,江苏博信投资控股股份有限公司,1997-06-06
600084,中葡股份,中信国安葡萄酒业股份有限公司,1997-07-11
600085,同仁堂,北京同仁堂股份有限公司,1997-06-25
600088,中视传媒,中视传媒股份有限公司,1997-06-16
600089,特变电工,特变电工股份有限公司,1997-06-18
600094,大名城,上海大名城企业股份有限公司,1997-07-03
600095,湘财股份,湘财股份有限公司,1997-07-08
600096,云天化,云南云天化股份有限公司,1997-07-09
600097,开创国际,上海开创国际海洋资源股份有限公司,1997-06-19
600098,广州发展,广州发展集团股份有限公司,1997-07-18
600099,林海股份,林海股份有限公司,1997-07-04
600100,同方股份,同方股份有限公司,1997-06-27
600101,明星电力,四川明星电力股份有限公司,1997-06-27
600103,青山纸业,福建省青山纸业股份有限公司,1997-07-03
600104,上汽集团,上海汽车集团股份有限公司,1997-11-25
600105,永鼎股份,江苏永鼎股份有限公司,1997-09-29
600106,重庆路桥,重庆路桥股份有限公司,1997-06-18
600107,美尔雅,湖北美尔雅股份有限公司,1997-11-06
600108,亚盛集团,甘肃亚盛实业(集团)股份有限公司,1997-08-18
600109,国金证券,国金证券股份有限公司,1997-08-07
600110,诺德股份,诺德新材料股份有限公司,1997-10-07
600111,北方稀土,中国北方稀土(集团)高科技股份有限公司,1997-09-24
600112,ST天成,贵州长征天成控股股份有限公司,1997-11-27
600113,浙江东日,浙江东日股份有限公司,1997-10-21
600114,东睦股份,东睦新材料集团股份有限公司,2004-05-11
600115,中国东航,中国东方航空股份有限公司,1997-11-05
600116,三峡水利,重庆三峡水利电力(集团)股份有限公司,1997-08-04
600117,*ST西钢,西宁特殊钢股份有限公司,1997-10-15
600118,中国卫星,中国东方红卫星股份有限公司,1997-09-08
600119,长江投资,长发集团长江投资实业股份有限公司,1998-01-15
600120,浙江东方,浙江东方金融控股集团股份有限公司,1997-12-01
600121,郑州煤电,郑州煤电股份有限公司,1998-01-07
600122,*ST宏图,江苏宏图高科技股份有限公司,1998-04-20
600123,兰花科创,山西兰花科技创业股份有限公司,1998-12-17
600125,铁龙物流,中铁铁龙集装箱物流股份有限公司,1998-05-11
600126,杭钢股份,杭州钢铁股份有限公司,1998-03-11
600127,金健米业,金健米业股份有限公司,1998-05-06
600128,弘业股份,江苏弘业股份有限公司,1997-09-01
600129,太极集团,重庆太极实业(集团)股份有限公司,1997-11-18
600130,波导股份,宁波波导股份有限公司,2000-07-06
600131,国网信通,国网信息通信股份有限公司,1998-04-02
600132,重庆啤酒,重庆啤酒股份有限公司,1997-10-30
600133,XD东湖高,武汉东湖高新集团股份有限公司,1998-02-12
600135,乐凯胶片,乐凯胶片股份有限公司,1998-01-22
600136,*ST明诚,武汉当代明诚文化体育集团股份有限公司,1998-03-03
600137,浪莎股份,四川浪莎控股股份有限公司,1998-04-16
600138,中青旅,中青旅控股股份有限公司,1997-12-03
600141,兴发集团,湖北兴发化工集团股份有限公司,1999-06-16
600143,金发科技,金发科技股份有限公司,2004-06-23
600148,长春一东,长春一东离合器股份有限公司,1998-05-20
600149,廊坊发展,廊坊发展股份有限公司,1999-10-14
600150,中国船舶,中国船舶工业股份有限公司,1998-05-20
600151,航天机电,上海航天汽车机电股份有限公司,1998-06-05
600152,维科技术,维科技术股份有限公司,1998-06-09
600153,建发股份,厦门建发股份有限公司,1998-06-16
600155,华创云信,华创云信数字技术股份有限公司,1998-09-18
600156,华升股份,湖南华升股份有限公司,1998-05-27
600157,永泰能源,永泰能源集团股份有限公司,1998-05-13
600158,中体产业,中体产业集团股份有限公司,1998-03-27
600159,大龙地产,北京市大龙伟业房地产开发股份有限公司,1998-05-26
600160,巨化股份,浙江巨化股份有限公司,1998-06-26
600161,天坛生物,北京天坛生物制品股份有限公司,1998-06-16
600162,香江控股,深圳香江控股股份有限公司,1998-06-09
600163,中闽能源,中闽能源股份有限公司,1998-06-02
600165,宁科生物,宁夏中科生物科技股份有限公司,1998-05-29
600166,福田汽车,北汽福田汽车股份有限公司,1998-06-02
600167,联美控股,联美量子股份有限公司,1999-01-28
600168,武汉控股,武汉三镇实业控股股份有限公司,1998-04-27
